iter	RMSE
138	4.685120314
139	4.679541421
140	4.676551682
141	4.670942518
142	4.6689377
143	4.665045046
144	4.661011466
145	4.65380802
146	4.649861004
147	4.643773978
148	4.63902269
149	4.636087287
150	4.630382673
151	4.627753301
152	4.622160051
153	4.618181641
154	4.615166616
155	4.610965218
156	4.607637606
157	4.6024056
158	4.598207339
159	4.594560705
160	4.592032988
161	4.590195041
162	4.588435565
163	4.585465065
164	4.582345937
165	4.577998071
166	4.573084646
167	4.569776582
168	4.566237477
169	4.562391066
170	4.556668649
171	4.551442142
172	4.548467067
173	4.545983725
174	4.540708285
175	4.535131129
176	4.532110072
177	4.526520889
178	4.52362281
179	4.51951691
180	4.515075071
181	4.510929634
182	4.506145098
183	4.50360084
184	4.49837284
185	4.496384042
186	4.493407161
187	4.488469207
188	4.485681278
189	4.481706913
190	4.477869077
191	4.474078437
192	4.471191771
193	4.467992072
194	4.462570609
195	4.458993467
196	4.457137817
197	4.453475315
198	4.449364009
199	4.446109364
200	4.443533622
201	4.44016307
202	4.436679816
203	4.432155472
204	4.427356802
205	4.4231444
206	4.42141445
207	4.414090885
208	4.412093153
209	4.407078418
210	4.40556454
211	4.403018372
212	4.398742931
213	4.395459918
214	4.391999131
215	4.388175128
216	4.384310388
217	4.379489182
218	4.378476268
219	4.377879247
220	4.377324691
221	4.373453762
222	4.368792525
223	4.368071933
224	4.365397451
225	4.360833691
226	4.353855352
227	4.349688613
228	4.346740347
229	4.343291985
230	4.340278577
231	4.339382862
232	4.336703679
233	4.334088018
234	4.330796421
235	4.327760285
236	4.324039794
237	4.319564623
238	4.316070465
239	4.315237869
240	4.311236232
241	4.307968904
242	4.304768411
243	4.302831421
244	4.300108677
245	4.297635399
246	4.295890195
247	4.292751193
248	4.289571016
249	4.287271773
250	4.284624344
251	4.281683105
252	4.279092994
253	4.27629146
254	4.271757873
255	4.270393429
256	4.26740399
257	4.265344679
258	4.262568988
259	4.26032483
260	4.258557197
261	4.253920988
262	4.251298707
263	4.248927604
264	4.247463111
265	4.245143513
266	4.243174573
267	4.241220858
268	4.238426071
269	4.236358767
270	4.233816409
271	4.230835486
272	4.228028034
273	4.224917743
274	4.221800607
275	4.21872738
276	4.215920344
277	4.212417266
278	4.210451877
279	4.205511108
280	4.202965032
281	4.199572253
282	4.198903068
283	4.196612691
284	4.193748445
285	4.19153913
286	4.188932839
287	4.187337936
288	4.184850555
289	4.182637136
290	4.178957421
291	4.177654223
292	4.175860042
293	4.172628255
294	4.170094698
295	4.16778355
296	4.165747411
297	4.164312132
298	4.16234033
299	4.160357192
300	4.158163753
301	4.155362678
302	4.152401016
303	4.14891643
304	4.14546195
305	4.143623461
306	4.141422726
307	4.14063745
308	4.140000413
309	4.137476242
310	4.135798107
311	4.133154608
312	4.130037281
313	4.1280502
314	4.126508679
315	4.124218784
316	4.122625723
317	4.120639049
318	4.117450356
319	4.115042025
320	4.113025683
321	4.109333693
322	4.107371896
323	4.104298738
324	4.099290766
325	4.097659562
326	4.095920875
327	4.093600742
328	4.091179121
329	4.08956771
330	4.087313445
331	4.086587729
332	4.083756767
333	4.081892678
334	4.079962043
335	4.078070207
336	4.07654075
337	4.074805043
338	4.072716829
339	4.07077825
340	4.068550897
341	4.067058748
342	4.063969432
343	4.062024608
344	4.059876795
345	4.058649679
346	4.056494751
347	4.054560646
348	4.053251987
349	4.052146525
350	4.049834529
351	4.048083736
352	4.046568159
353	4.045246592
354	4.04363255
355	4.042173868
356	4.039778899
357	4.037593251
358	4.035059453
359	4.033351473
360	4.031496243
361	4.029848644
362	4.0246291
363	4.022606156
364	4.020551738
365	4.018490809
366	4.017041077
367	4.014005047
368	4.012035419
369	4.011037026
370	4.008940935
371	4.005797242
372	4.003795489
373	4.002233783
374	3.999906969
375	3.998398578
376	3.995167041
377	3.993730867
378	3.992806164
379	3.991883446
380	3.991359098
381	3.989713258
382	3.988263994
383	3.986900245
384	3.984502644
385	3.982647138
386	3.98178397
387	3.980934041
388	3.979640556
389	3.978845207
390	3.978085778
391	3.975773445
392	3.973677163
393	3.972442363
394	3.970139253
395	3.969537944
396	3.967244394
397	3.964819535
398	3.963028449
399	3.962667179
400	3.960995754
401	3.959237338
402	3.957435122
403	3.954950967
404	3.953498667
405	3.95213204
406	3.950318676
407	3.949032878
408	3.947105577
409	3.94525582
410	3.942489779
411	3.937822647
412	3.937276492
413	3.936003908
414	3.934566178
415	3.932533924
416	3.931804422
417	3.929908741
418	3.928209882
419	3.92651232
420	3.924667851
421	3.921680402
422	3.919960137
423	3.918099602
424	3.916939745
425	3.915256297
426	3.912615491
427	3.911257507
428	3.910325233
429	3.908465151
430	3.907788922
431	3.906722002
432	3.904833125
433	3.904365103
434	3.902923901
435	3.901560649
436	3.900073709
437	3.898882711
438	3.893782828
439	3.891859006
440	3.890285441
441	3.889221381
442	3.887418128
443	3.885885182
444	3.884097024
445	3.882938366
446	3.881487049
447	3.880098902
448	3.878189237
449	3.877553027
450	3.877122642
451	3.874960965
452	3.87330982
453	3.871947054
454	3.870436439
455	3.868489375
456	3.866881135
457	3.864840902
458	3.86389938
459	3.862266161
460	3.860806136
461	3.8591831
462	3.857547136
463	3.856391008
464	3.85588414
465	3.855118207
466	3.853661337
467	3.851735967
468	3.849526834
469	3.847211503
470	3.846188095
471	3.84457409
472	3.839917628
473	3.838185432
474	3.836780032
475	3.834936789
476	3.83384761
477	3.832856517
478	3.832272733
479	3.830328945
480	3.828742481
481	3.827085798
482	3.82605522
483	3.82510306
484	3.823528873
485	3.822377603
486	3.821029094
487	3.819756542
488	3.818559684
489	3.817011126
490	3.815666705
491	3.814078244
492	3.812215911
493	3.810141999
494	3.809007635
495	3.807874857
496	3.806069107
497	3.804352196
498	3.803724906
499	3.801618963
500	3.800372639
501	3.799864853
502	3.799356289
503	3.797956359
504	3.796970777
505	3.795132701
506	3.794014856
507	3.792234826
508	3.791154585
509	3.789841331
510	3.78855634
511	3.787079509
512	3.786055348
513	3.78483884
514	3.782766233
515	3.782448099
516	3.781608639
517	3.781060618
518	3.780068149
519	3.779033225
520	3.777343535
521	3.776570512
522	3.775318891
523	3.775016856
524	3.773913716
525	3.77279349
526	3.768495594
527	3.76646087
528	3.765779003
529	3.764690178
530	3.76366305
531	3.762232474
532	3.7606921
533	3.759024186
534	3.758125548
535	3.757382917
536	3.756269787
537	3.754458209
538	3.753494569
539	3.751831562
540	3.750407164
541	3.749277554
542	3.748238073
543	3.746676351
544	3.744738545
545	3.743992676
546	3.742378647
547	3.741067317
548	3.740143809
549	3.738418373
550	3.737334238
551	3.736098688
552	3.735112891
553	3.733748241
554	3.732352495
555	3.73090627
556	3.730073336
557	3.729471573
558	3.726607728
559	3.725239491
560	3.724407855
561	3.723187758
562	3.721765965
563	3.720297182
564	3.719203932
565	3.718084439
566	3.717083995
567	3.715855274
568	3.715036304
569	3.714203428
570	3.712292226
571	3.711077525
572	3.709224091
573	3.708455914
574	3.707220652
575	3.706313195
576	3.705597792
577	3.704931393
578	3.703035275
579	3.702381854
580	3.701572926
581	3.699816637
582	3.698525578
583	3.697395609
584	3.695389073
585	3.693730703
586	3.692409872
587	3.690940718
588	3.689847466
589	3.688016222
590	3.687501977
591	3.6858696
592	3.685321269
593	3.683778164
594	3.683008495
595	3.681817031
596	3.680802546
597	3.679129456
598	3.678431251
599	3.677379658
600	3.676505016
601	3.675413842
602	3.673730604
603	3.673013452
604	3.671682438
605	3.670682752
606	3.669895863
607	3.666899294
608	3.666111258
609	3.664930914
610	3.663620503
611	3.66225648
612	3.661283573
613	3.660348783
614	3.65991342
615	3.659441702
616	3.658497388
617	3.657784426
618	3.655785669
619	3.655308811
620	3.653224142
621	3.65140813
622	3.650582387
623	3.648889744
624	3.647749489
625	3.646824969
626	3.645788757
627	3.645048666
628	3.641530667
629	3.640998892
630	3.640016337
631	3.638847672
632	3.63787079
633	3.636282149
634	3.635632918
635	3.634797261
636	3.633949642
637	3.632390197
638	3.631003822
639	3.630225294
640	3.629262237
641	3.629015894
642	3.627750926
643	3.626490381
644	3.62473146
645	3.623544701
646	3.621533481
647	3.619793723
648	3.618630183
649	3.61766765
650	3.616596737
651	3.615762778
652	3.615332586
653	3.614029082
654	3.612815546
655	3.611667795
656	3.60976319
657	3.608535361
658	3.607247269
659	3.606237362
660	3.605290213
661	3.603462765
662	3.602906637
663	3.602254354
664	3.60195672
665	3.601163788
666	3.598742817
667	3.597909545
668	3.596352814
669	3.594154726
670	3.593880986
671	3.592300958
672	3.591314474
673	3.59038229
674	3.589915321
675	3.588831233
676	3.586861152
677	3.585675393
678	3.584274635
679	3.583508507
680	3.582331463
681	3.581371932
682	3.580885606
683	3.579575964
684	3.578866871
685	3.577731427
686	3.577180768
687	3.575951009
688	3.574709479
689	3.574117457
690	3.573651452
691	3.572650261
692	3.57125613
693	3.570044769
694	3.56887834
695	3.56824796
696	3.5675971
697	3.566481118
698	3.565829593
699	3.564321417
700	3.563477196
701	3.562238044
702	3.560744594
703	3.55996098
704	3.558201889
705	3.556185573
706	3.555261956
707	3.55444657
708	3.553350496
709	3.552969183
710	3.551271108
711	3.549495127
712	3.547551598
713	3.546197468
714	3.545347359
715	3.544215783
716	3.543423666
717	3.542288383
718	3.541785232
719	3.540743764
720	3.540008337
721	3.538476379
722	3.537801038
723	3.537142983
724	3.536204513
725	3.534875288
726	3.534217292
727	3.53261846
728	3.531510715
729	3.529991764
730	3.529034412
731	3.528512873
732	3.527197639
733	3.525727701
734	3.524878112
735	3.523817069
736	3.523043465
737	3.521758157
738	3.521053937
739	3.520073601
740	3.518639662
741	3.517875434
742	3.516736847
743	3.515560901
744	3.51428357
745	3.513520901
746	3.512621672
747	3.512210243
748	3.511059993
749	3.510260029
750	3.509695648
751	3.508483585
752	3.5077532
753	3.50717888
754	3.505894358
755	3.504750823
756	3.504271892
757	3.502831661
758	3.499944819
759	3.4984876
760	3.498068218
761	3.496498433
762	3.495359576
763	3.494472923
764	3.493446231
765	3.492883494
766	3.491205054
767	3.490726905
768	3.489930835
769	3.488983621
770	3.48826698
771	3.48704724
772	3.486415583
773	3.485380146
774	3.48451062
775	3.483592677
776	3.482476738
777	3.481081889
778	3.480440585
779	3.478034373
780	3.476677973
781	3.475804817
782	3.475198855
783	3.474402154
784	3.473793178
785	3.473403275
786	3.4722504
787	3.472074137
788	3.471306283
789	3.469430826
790	3.468409102
791	3.467318096
792	3.466538063
793	3.466119645
794	3.465802726
795	3.463392861
796	3.462814543
797	3.461821031
798	3.460590298
799	3.459663264
800	3.458993854
801	3.457210402
802	3.455797105
803	3.45508043
804	3.454175203
805	3.452734202
806	3.452107103
807	3.451809579
808	3.450874448
809	3.449913281
810	3.449582574
811	3.448147163
812	3.447371237
813	3.446292482
814	3.445534518
815	3.444486948
816	3.444038859
817	3.442875339
818	3.442108763
819	3.441152816
820	3.440117343
821	3.438794614
822	3.437897929
823	3.436109291
824	3.435344199
825	3.434325042
826	3.434062582
827	3.433005229
828	3.431367927
829	3.43077817
830	3.429627611
831	3.428272296
832	3.42742271
833	3.42711242
834	3.425784524
835	3.425424788
836	3.424585977
837	3.423716136
838	3.422779789
839	3.421523396
840	3.420742883
841	3.420296718
842	3.419378386
843	3.4186983
844	3.417932949
845	3.416973033
846	3.416271925
847	3.415451883
848	3.414757549
849	3.414019166
850	3.413034179
851	3.412593335
852	3.411359488
853	3.410516014
854	3.409684072
855	3.409244188
856	3.407970409
857	3.407143076
858	3.406353608
859	3.405684636
860	3.404891484
861	3.403262553
862	3.401354514
863	3.400852102
864	3.399974298
865	3.399761199
866	3.39903399
867	3.398201803
868	3.397442113
869	3.396450202
870	3.394841324
871	3.394067568
872	3.392922572
873	3.39172137
874	3.390482299
875	3.390063514
876	3.389012582
877	3.388597096
878	3.387591411
879	3.386886348
880	3.386406114
881	3.385874008
882	3.38529551
883	3.384461661
884	3.383338941
885	3.382176683
886	3.381272508
887	3.381077504
888	3.380930526
889	3.380001778
890	3.379490486
891	3.379216769
892	3.37858438
893	3.377691692
894	3.376609485
895	3.376197136
896	3.375353037
897	3.374553377
898	3.373786142
899	3.373304275
900	3.371940684
901	3.371033853
902	3.370208543
903	3.369047923
904	3.368709779
905	3.366993591
906	3.366446221
907	3.366175224
908	3.365916152
909	3.365192251
910	3.364804307
911	3.364038984
912	3.363640775
913	3.363030367
914	3.362324529
915	3.361598271
916	3.360375247
917	3.359298444
918	3.358853115
919	3.357978592
920	3.357246364
921	3.356547789
922	3.355797577
923	3.35466362
924	3.353840549
925	3.353019501
926	3.351502794
927	3.350891228
928	3.350201263
929	3.349244426
930	3.348539449
931	3.347518001
932	3.346194961
933	3.345167176
934	3.344780432
935	3.344017178
936	3.343156841
937	3.342974782
938	3.342655322
939	3.341956587
940	3.341168314
941	3.339892825
942	3.338467957
943	3.337834533
944	3.336883253
945	3.336520945
946	3.335525894
947	3.335014092
948	3.334692969
949	3.333853321
950	3.33367738
951	3.33199631
952	3.331192295
953	3.330745012
954	3.3291829
955	3.327109304
956	3.325894625
957	3.324567646
958	3.323806647
959	3.323058569
960	3.322374059
961	3.321731038
962	3.320819076
963	3.31985725
964	3.318301284
965	3.317239652
966	3.31654137
967	3.314526896
968	3.313506458
969	3.312096092
970	3.311356314
971	3.310457286
972	3.309389543
973	3.308780532
974	3.307712032
975	3.306810866
976	3.306311207
977	3.305887077
978	3.305226278
979	3.304058967
980	3.303718309
981	3.302451987
982	3.301469615
983	3.30079458
984	3.300350079
985	3.300167538
986	3.299352
987	3.298485542
988	3.297675815
989	3.296945378
990	3.296457112
991	3.296095121
992	3.295368176
993	3.29520924
994	3.295069
995	3.294245392
996	3.293287442
997	3.292580079
998	3.292445963
999	3.29191613
